"Aruba","ABW","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","74.95631916","74.49209932","66.76107627","74.23877786","75.53299492","70","70.58823529","71.05263158","70.73170732","72.13076352","73.23497772","74.64772379","74.64772379","74.64772379","74.64772379","73.94084732","74.56845299","74.56845299","","",
"Afghanistan","AFG","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.99055343","94.00883073","93.99896972","93.99112713","93.98327903","94.00211711","93.98324488","93.95866919","93.95506113","99.3262864","93.64048256","93.64048256","","",
"Angola","AGO","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.76974874","70.36408165","79.1895595","84.46821804","75.03792418","71.38420835","83.13541134","80.1253086","82.06904235","81.16412565","76.18497683","67.91130557","77.95150931","67.05557968","75.37168748","71.03644247","70.08207835","70.52780216","73.19481741","","",
"Albania","ALB","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.93002754","99.90627674","99.90695693","99.89201833","99.8736993","99.82427886","99.83420745","94.34481962","92.73020682","93.82271429","92.45524718","92.16984042","95.50401106","99.69070452","99.67965959","99.6864738","99.68777321","99.68777321","","",
"Arab World","ARB","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.3737402948497","84.1064667779235","85.0250967282207","85.6881400900507","85.3863726751088","84.8136064733795","84.4839919909897","84.8494871307807","83.7041181767047","83.8894788110685","83.6830262282275","84.4081389096204","85.1192682823231","84.6227671626033","84.2031739108054","82.8535468966626","82.4955962997886","82.6499496520911","82.13642517637","","",
"United Arab Emirates","ARE","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.00149477","68.94049347","70.55805003","69.02606941","69.41526266","69.41258371","69.43359375","75.93529379","74.53374796","74.41148578","73.50710736","73.30301389","73.44429542","73.27113348","65.69597848","63.19402098","63.19402098","63.19402098","63.19402098","","",
"Argentina","ARG","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.52491309","70.38440715","63.21169192","63.41713699","63.65391071","62.98260149","64.01160803","64.2157975","64.408088","64.06195329","64.29765174","64.14417671","61.51084345","59.24364052","59.24424869","60.29824742","63.11862647","65.47302771","65.27279208","","",
"Armenia","ARM","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.12782103","96.33747906","94.96935588","94.88713469","93.9361974","94.54700216","95.30975526","91.92238641","95.03858606","95.80783315","96.7343332","95.4661105","96.43786117","95.98129566","95.15901902","96.57087699","98.44587021","93.83952707","93.86328926","","",
"American Samoa","ASM","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.69792338","84.28698745","84.97802184","86.40415627","85.35746984","79.44771891","79.2483121","79.2483121","79.2483121","79.2483121","76.44871241","74.49920984","72.44649553","74.81907156","75.13915158","74.55834479","73.91994917","74.82147958","75.18285038","","",
"Australia","AUS","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.01113535","48.77201637","50.96575365","59.15679882","58.87472784","59.66538665","57.09958157","56.7723133","53.78409386","54.70219752","56.11855145","55.72680595","55.39732682","55.13690429","57.29778321","58.01326289","57.21991445","57.08280499","57.08280499","","",
"Austria","AUT","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.99111032","57.8933192","62.00405658","62.18576003","61.7344622","62.08398434","63.80994976","63.6635737","63.9350831","66.99476942","68.20652502","68.12376564","68.07905271","67.47124637","67.32506008","65.96291371","67.74225063","65.16993028","65.16993028","","",
"Azerbaijan","AZE","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.34738354","86.00059348","80.25588242","80.65082428","79.37238735","77.68474376","77.93609585","79.32819602","88.54746092","90.78266209","92.74787338","91.2110085","89.84984263","88.41710293","88.83316496","88.58384855","89.04454987","89.12674497","89.70190139","","",
"Burundi","BDI","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.54671796","68.54583951","69.24347974","68.93796909","68.80938032","73.00789943","74.45582614","76.24507783","75.43902177","68.03210009","69.8749355","69.18411449","60.48501351","65.36460623","67.53080691","69.7471133","69.66891855","54.89833047","44.66523038","","",
"Belgium","BEL","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.42265795","86.45320197","85.83234947","84.09190372","82.03873598","80.89477727","80.16232541","81.44728005","80.89871237","80.25026789","79.8854673","80.81051832","80.98727869","83.00621566","82.25781465","83.07654389","82.00385949","82.2803479","82.2803479","","",
"Benin","BEN","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.89325317","99.8913577","99.89075759","99.88744301","99.88658769","99.88687245","99.88010083","99.87999283","99.88268218","99.52333851","94.8708738","94.83256124","93.74980867","91.14441028","91.16090497","90.67265542","89.90737626","89.26661774","89.21019662","","",
"Burkina Faso","BFA","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.16534283","94.23048345","94.18204062","94.24237339","94.3466191","94.34678786","94.34556151","94.24117419","92.20524073","95.11722755","94.24658136","91.28104935","93.72989037","92.94750859","73.96791688","73.77347616","82.7117779","82.68693934","82.68693934","","",
"Bangladesh","BGD","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.14996109","96.15567632","98.14623479","97.47216774","97.57648718","97.41305562","97.01324491","95.99538491","96.36327578","96.31593609","93.78965655","93.43637816","94.53513885","90.70547028","92.70618711","92.77601088","91.50769552","93.02729213","93.02729213","","",
"Bulgaria","BGR","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","99.93975644","98.46153846","97.60953851","97.38248433","96.94503323","97.08924759","97.12980626","97.34872828","97.14484528","96.77284117","96.77284117","97.28387528","97.26327819","","",
"Bahrain","BHR","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.88083248","71.61911544","71.87755506","73.62659496","72.20399453","67.98444015","68.13353848","67.15409558","67.23356729","69.79742173","68.5014153","67.33829294","66.3522489","64.53713708","63.62981497","61.42436083","59.89853085","53.62422021","48.95390843","","",
"Bahamas, The","BHS","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.12738854","40.2006689","40.21464646","40.22072348","40.22850271","40.2453271","40.26345934","43.76913008","46.70614288","49.74341796","52.98324725","51.70371525","53.98159992","53.98159992","53.98159992","53.98159992","53.98159992","53.98159992","53.98159992","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","99.9979055","99.99797669","99.9980432","100","100","97.2972973","97.17114569","96.85362517","96.66221629","96.92115788","","",
"Belarus","BLR","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.50629954","59.8436505","49.78172681","58.33464101","56.21705856","57.13232634","64.26043191","69.42070776","69.64409262","68.32309712","73.37764953","74.51288045","76.43735714","78.61234424","74.76232234","88.94288244","90.40101111","85.3168585","91.97103077","","",
"Belize","BLZ","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.97304561","78.81151393","79.37250243","78.77225564","78.66285387","82.31559176","81.62800955","81.62954624","79.44387285","79.44228215","79.38385795","75.05093047","75.14235884","73.11786054","73.11786054","69.54977837","69.76744186","69.7611384","69.7611384","","",
"Bermuda","BMU","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.78861913","77.92843028","83.87204409","80.18240717","83.82706165","81.57267673","77.91455467","78.85174419","79.13548856","78.27680368","77.85807695","70.37875358","72.85473192","76.81619309","79.02514799","77.73771263","88.33978168","82.23787344","91.70695627","","",
"Brazil","BRA","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.98130841","68.63543788","66.88596491","66.8921061","67.09080393","63.57671035","62.59268074","62.52336131","62.60686334","62.6433412","62.77450812","61.8158546","58.45513392","56.03789465","57.18955065","57.76453697","57.76453697","57.76455213","57.76458666","","",
"Barbados","BRB","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.78947368","75.83547558","75.8507135","76.43442623","77.14285714","77.27272727","76.92307692","77.19298246","79.06976744","80","80.53691275","81.25","80.70175439","80.55555556","80.55555556","80.55555556","81.88054763","81.88054763","81.88054763","","",
"Brunei Darussalam","BRN","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.87700535","98.87700535","98.87700535","98.87700535","99.24225352","98.77666667","99.12479311","99.06898349","98.92156185","98.92167662","98.80239521","98.64864865","98.4496124","98.1981982","97.82608696","97.82608696","97.82608696","97.82608696","97.82608696","","",
"Bhutan","BTN","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","97.79472188","97.62248909","96.94418597","96.68551582","96.65739535","94.74140435","94.74140435","97.12493192","97.12528439","","",
"Botswana","BWA","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.72907053","34.27844775","34.50006598","36.51032462","36.16274672","36.69902913","37.82775683","36.62210916","31.03574374","26.6306456","22.92987445","20.0128818","17.55322091","12.72549976","13.48035636","11.93671855","12.65558029","12.66097963","12.66118861","","",
"Central African Republic","CAF","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.45265923","93.4599444","93.48801492","93.18757809","93.44088221","93.00585356","92.56479351","92.66028954","92.9390505","92.67500748","92.43914523","92.03242005","91.5663236","85.07895707","83.29708298","90.44913465","90.45179153","90.4341296","90.48828981","","",
"Canada","CAN","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.60845267","55.63219704","56.54376468","55.31094574","54.54253306","53.67308783","50.72689199","49.87132374","48.71113462","49.2702509","49.11411341","49.49134461","49.52524605","49.51377458","48.9911248","49.24998856","49.39997809","50.06996228","50.06996228","","",
"Central Europe and the Baltics","CEB","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7274333559934","95.7007534164314","95.3244016397332","94.9539167841364","94.4235614456321","93.6560637975933","93.0884077033955","88.0590149614959","87.5233538716893","86.461399699021","85.3873461170887","84.5640100399997","83.596192747021","83.2575245951711","81.8465479723722","80.9429454932759","80.0065829036935","79.1721921055429","79.3211642281199","","",
"Switzerland","CHE","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.26864693","69.18222305","71.93541843","72.49660363","74.3997241","73.98794502","73.80221862","74.67698811","75.92535518","76.57232302","75.56162453","75.33483219","75.09548149","71.27355255","71.57512941","72.26990601","72.60539325","76.1096736","76.1096736","","",
"Channel Islands","CHI","Out-of-pocket health expenditure (% of private expenditure on health)","SH.XPD.OOPC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
